표준버스정류장ID,역명,자치구,승차총승객수
118000315,SG메디피움(00062),영등포구,2482
119900219,갑을명가아파트(00019),동작구,2476
120900071,만물슈퍼(00002),관악구,2471
116900011,동진빌라.오정초등학교(00013),구로구,2457
105900006,동안교회(00019),동대문구,2453
107900079,래미안길음센터피스120동앞(00009),성북구,2446
110000685,그린아파트101동앞(00008),노원구,2443
123000677,위례포레샤인13단지공원(00020),송파구,2435
115900250,마곡한솔솔파크(00012),강서구,2434
100900104,오거리.한옥마을입구(00016),종로구,2431
109900032,청한빌라(00029),도봉구,2429
107900323,아리랑시장(00021),성북구,2426
123000698,잠신고등학교(00037),송파구,2426
100900144,운현궁(00010),종로구,2407
107900126,선경아파트(00034),성북구,2404
119900223,백경세탁소(00015),동작구,2393
112900024,동성교회(00018),서대문구,2381
113900041,와우공원입구(00013),마포구,2379
100900054,소나무집(00006),종로구,2376
123900011,오금역.오금고교(00006),송파구,2374
112900206,개미마을(00023),서대문구,2374
113900172,우성아파트3동(00036),마포구,2363
120900135,남강중고등학교입구(00023),관악구,2362
114900098,거산아파트(00018),양천구,2361
113900292,상지초등학교(00002),마포구,2359
124000490,주원교회(00002),강동구,2340
107900182,대우APT211동앞(00018),성북구,2337
110000026,삼익아파트.한보아파트(00019),노원구,2336
104900028,화양동현대아파트(00005),광진구,2334
114900076,서남병원(00056),양천구,2334
103900259,이마트.서울숲힐스테이트아파트(00017),성동구,2333
123900030,올림픽훼밀리타운아파트(00017),송파구,2333
121000957,KT삼거리(00067),서초구,2331
111900150,길마어린이공원(00018),은평구,2329
105000031,시조사(00049),동대문구,2320
118000457,문래동주민센터(00070),영등포구,2319
117900133,태영빌라(00039),금천구,2318
116900034,덕의공원(00030),구로구,2317
117900066,꿈나래어린이집(00012),금천구,2310
108000371,무량사입구(00065),강북구,2306
115000270,서울방화초등학교(00006),강서구,2303
119900292,흑석동주민센터(00007),동작구,2302
103900167,래미안옥수리버젠아파트상가(00005),성동구,2296
100900025,세검초등학교(00003),종로구,2292
120900138,삼성전자(00028),관악구,2292
106000464,중랑경찰서정문.우디안101동앞(00074),중랑구,2284
116900297,구로디지털단지우체국(00024),구로구,2283
